1856,131,0,93,50,70,115,65
1949,118,0,93,35,75,135,57
2056,218,0,93,32,91,142,50
1990,336,0,93,32,60,120,50
2082,385,0,93,32,60,120,45
1996,427,0,93,15,80,125,47
1903,348,0,93,12,80,125,53
1849,381,0,93,12,80,125,54
1838,199,0,93,15,90,133,59
1931,296,0,90,35,45,110,52
2066,316,0,90,35,65,125,47
2203,364,0,90,35,85,140,41
2144,446,0,90,35,70,130,41
2079,499,0,90,20,65,118,41
2023,571,0,90,5,80,123,40
2172,564,0,90,15,78,126,35
2218,533,0,90,30,78,135,35
1988,393,0,90,27,70,125,48
2016,518,0,90,12,70,120,42
2025,595,0,90,12,70,117,38
1818,186,0,93,22,75,128,60
1710,272,0,93,10,75,118,63
1808,335,0,93,10,75,118,57
1754,414,0,93,10,60,108,57
1813,486,0,93,10,60,108,52
1957,411,0,93,25,60,115,48
1931,553,0,93,17,60,112,44
2029,439,0,93,27,60,117,44
2045,560,0,93,23,57,114,40
1849,663,0,93,5,52,97,42
1546,118,0,93,42,42,112,72
1739,101,0,93,70,42,125,65
2029,506,0,93,30,55,117,42
1937,559,0,93,17,55,107,42
1870,612,0,93,17,45,100,42
1947,705,0,93,17,45,100,33
2006,651,0,93,27,45,108,34
2052,604,0,93,32,45,110,34
2137,545,0,93,42,48,115,35
2148,713,0,93,40,48,115,27
2104,824,0,93,20,48,105,22
1668,341,0,93,25,48,105,61
1746,253,0,93,37,48,112,59
1830,182,0,93,57,40,115,57
1908,276,0,93,57,40,115,53
1852,405,0,93,28,42,102,51
1862,555,0,93,20,42,97,45
,,,,,,,
1747,559,0,93,10,50,99,50
1763,587,0,93,10,50,99,50
1822,637,0,93,5,50,97,43
1714,507,0,93,5,50,97,53
1626,440,0,93,5,50,97,62
1552,392,0,93,5,50,97,67
1483,344,0,93,5,50,97,72
1437,433,0,93,5,50,93,72
1530,494,0,93,5,50,93,65
1637,562,0,93,5,50,93,57
1728,633,0,93,5,50,93,47
